07-Sep-2023 21:15:00 - num of feature = 2308
07-Sep-2023 21:17:10 - iter: 1/70 time: 0.617s fit: 0.11037
07-Sep-2023 21:17:11 - iter: 2/70 time: 0.625s fit: 0.10376
07-Sep-2023 21:17:12 - iter: 3/70 time: 0.592s fit: 0.090694
07-Sep-2023 21:17:12 - iter: 4/70 time: 0.587s fit: 0.087213
07-Sep-2023 21:17:13 - iter: 5/70 time: 0.575s fit: 0.082217
07-Sep-2023 21:17:13 - iter: 6/70 time: 0.567s fit: 0.06692
07-Sep-2023 21:17:14 - iter: 7/70 time: 0.583s fit: 0.062879
07-Sep-2023 21:17:15 - iter: 8/70 time: 0.566s fit: 0.059272
07-Sep-2023 21:17:15 - iter: 9/70 time: 0.566s fit: 0.056062
07-Sep-2023 21:17:16 - iter: 10/70 time: 0.57s fit: 0.054545
07-Sep-2023 21:17:16 - iter: 11/70 time: 0.565s fit: 0.051106
07-Sep-2023 21:17:17 - iter: 12/70 time: 0.564s fit: 0.052988
07-Sep-2023 21:17:17 - iter: 13/70 time: 0.562s fit: 0.053995
07-Sep-2023 21:17:18 - iter: 14/70 time: 0.563s fit: 0.051689
07-Sep-2023 21:17:19 - iter: 15/70 time: 0.551s fit: 0.048218
07-Sep-2023 21:17:19 - iter: 16/70 time: 0.578s fit: 0.04629
07-Sep-2023 21:17:20 - iter: 17/70 time: 0.559s fit: 0.050216
07-Sep-2023 21:17:20 - iter: 18/70 time: 0.561s fit: 0.049305
07-Sep-2023 21:17:21 - iter: 19/70 time: 0.559s fit: 0.050026
07-Sep-2023 21:17:21 - iter: 20/70 time: 0.558s fit: 0.04992
07-Sep-2023 21:17:22 - iter: 21/70 time: 0.554s fit: 0.0478
07-Sep-2023 21:17:22 - iter: 22/70 time: 0.555s fit: 0.044502
07-Sep-2023 21:17:23 - iter: 23/70 time: 0.56s fit: 0.045391
07-Sep-2023 21:17:24 - iter: 24/70 time: 0.56s fit: 0.044247
